elapsed_ms,cpu_pct,workers_active,queue_io,queue_cpu,queue_total
1,10,1,0,0,0
11,10,1,0,0,0
21,20,2,0,0,0
32,20,2,0,0,0
42,30,3,0,0,0
52,30,3,0,0,0
62,40,4,0,0,0
73,40,4,0,0,0
83,50,5,0,0,0
93,50,5,0,0,0
103,60,6,0,0,0
114,60,6,0,0,0
124,70,7,0,0,0
134,70,7,0,0,0
144,80,8,0,0,0
154,80,8,0,0,0
164,80,8,0,1,1
175,80,8,0,1,1
185,80,8,1,1,2
195,80,8,1,1,2
205,70,7,2,1,3
215,70,7,2,1,3
225,95,7,3,0,3
236,95,7,3,0,3
246,95,7,3,0,3
256,95,7,3,0,3
266,95,7,3,0,3
276,95,7,3,0,3
286,95,7,3,0,3
296,95,7,3,0,3
307,95,7,3,0,3
317,95,7,3,0,3
327,95,7,2,1,3
337,95,7,2,1,3
347,85,6,2,2,4
357,85,6,2,2,4
368,85,6,2,3,5
378,85,6,2,3,5
388,85,6,3,3,6
398,85,6,3,3,6
408,85,6,4,3,7
418,85,6,4,3,7
429,85,6,5,2,7
439,85,6,5,2,7
449,75,5,6,2,8
459,75,5,6,2,8
469,100,5,7,1,8
479,100,5,7,1,8
490,100,5,7,1,8
500,100,5,7,1,8
510,100,5,7,1,8
520,100,5,7,1,8
530,100,5,7,1,8
540,100,5,7,1,8
550,100,5,8,1,9
561,100,5,8,1,9
571,100,5,9,1,10
581,100,5,9,1,10
591,100,5,10,1,11
601,100,5,10,1,11
612,100,5,10,2,12
622,100,5,10,1,11
632,100,5,11,1,12
642,100,5,11,1,12
652,100,5,12,1,13
662,95,7,9,1,10
673,95,7,10,1,11
683,95,7,9,1,10
693,95,7,10,1,11
703,95,7,9,1,10
713,95,7,10,1,11
723,95,7,9,1,10
733,95,7,10,1,11
744,95,7,10,2,12
754,95,7,10,2,12
765,95,7,11,2,13
775,95,7,11,2,13
785,95,7,12,2,14
796,95,7,12,2,14
806,95,7,12,3,15
816,95,7,12,3,15
827,95,7,13,2,15
837,95,7,13,2,15
848,95,7,13,3,16
858,95,7,13,3,16
868,100,5,14,2,16
878,100,5,14,2,16
888,100,5,14,2,16
899,100,5,14,2,16
909,100,5,13,3,16
919,100,5,13,3,16
929,100,5,13,3,16
940,100,5,13,3,16
950,100,5,14,3,17
960,100,5,14,3,17
970,100,5,15,3,18
980,100,5,15,3,18
991,100,5,16,3,19
1001,100,5,16,3,19
1011,100,5,17,3,20
1021,100,5,17,3,20
1031,100,5,17,3,20
1042,100,5,17,3,20
1052,100,5,18,3,21
1062,75,5,17,3,20
1072,75,5,17,4,21
1082,100,5,17,3,20
1092,100,5,17,4,21
1102,100,5,16,4,20
1113,100,5,16,5,21
1123,100,5,15,5,20
1133,100,5,16,5,21
1143,100,5,16,5,21
1153,100,5,17,5,22
1163,100,5,17,5,22
1174,100,5,18,5,23
1184,100,5,18,5,23
1194,100,5,19,5,24
1204,100,5,19,5,24
1215,100,5,20,5,25
1225,100,5,20,4,24
1236,100,5,21,4,25
1252,100,5,22,4,26
1264,100,5,22,4,26
1275,100,5,22,4,26
1285,100,5,22,3,25
1295,100,5,23,3,26
1305,100,5,22,3,25
1316,100,5,23,3,26
1326,100,5,22,3,25
1337,100,5,23,3,26
1347,100,5,23,3,26
1357,100,5,24,3,27
1367,100,5,24,3,27
1379,100,5,25,3,28
1389,100,5,25,3,28
1399,100,5,26,3,29
1409,100,5,26,3,29
1419,100,5,27,3,30
1430,95,7,24,3,27
1440,95,7,25,3,28
1450,95,7,25,3,28
1460,95,7,25,4,29
1470,95,7,24,4,28
1480,95,7,25,4,29
1491,95,7,25,3,28
1501,95,7,26,3,29
1511,95,7,25,3,28
1521,95,7,26,3,29
1531,95,7,25,3,28
1541,95,7,26,3,29
1551,95,7,26,3,29
1562,95,7,27,3,30
1572,95,7,27,3,30
1582,95,7,27,4,31
1592,95,7,27,4,31
1602,95,7,28,4,32
1612,95,7,28,4,32
1623,100,5,28,4,32
1633,100,5,29,4,33
1643,100,5,29,4,33
1653,100,5,30,4,34
1663,100,5,30,4,34
1673,100,5,30,4,34
1684,95,7,27,4,31
1694,95,7,28,4,32
1704,95,7,27,4,31
1714,95,7,27,5,32
1724,85,6,27,5,32
1734,85,6,27,6,33
1744,85,6,27,6,33
1755,85,6,28,6,34
1765,85,6,28,6,34
1775,85,6,28,7,35
1785,85,6,28,7,35
1795,85,6,28,8,36
1806,85,6,28,8,36
1816,85,6,28,9,37
1826,85,6,28,8,36
1836,85,6,29,8,37
1848,85,6,29,8,37
1858,85,6,30,8,38
1868,75,5,30,8,38
1878,75,5,31,8,39
1889,100,5,29,7,36
1899,100,5,30,7,37
1910,100,5,29,7,36
1920,100,5,30,7,37
1931,100,5,30,7,37
1941,100,5,31,7,38
1951,100,5,31,7,38
1961,100,5,31,8,39
1971,100,5,31,8,39
1982,100,5,32,8,40
1992,100,5,32,8,40
2002,100,5,33,8,41
2012,100,5,33,8,41
2023,100,5,34,7,41
2033,100,5,34,7,41
2043,100,5,35,7,42
2053,100,5,35,7,42
2064,100,5,36,7,43
2074,100,5,36,7,43
2084,100,5,35,6,41
2095,100,5,35,6,41
2105,100,5,34,7,41
2115,100,5,34,7,41
2126,100,5,35,7,42
2137,100,5,35,8,43
2147,100,5,35,8,43
2158,100,5,36,8,44
2169,100,5,36,8,44
2180,100,5,37,8,45
2191,100,5,37,8,45
2201,100,5,38,8,46
2211,100,5,38,8,46
2222,100,5,39,8,47
2232,100,5,39,7,46
2242,100,5,39,8,47
2253,100,5,39,8,47
2264,100,5,39,9,48
2274,100,5,39,9,48
2284,100,5,38,8,46
2295,100,5,38,8,46
2305,100,5,38,8,46
2315,100,5,38,8,46
2326,100,5,39,8,47
2336,100,5,39,8,47
2346,100,5,40,8,48
2356,100,5,40,8,48
2366,100,5,40,9,49
2376,100,5,40,9,49
2387,100,5,40,10,50
2397,100,5,40,10,50
2407,100,5,41,10,51
2417,100,5,41,10,51
2427,100,5,42,9,51
2437,100,5,42,9,51
2448,100,5,43,9,52
2458,100,5,43,9,52
2468,100,5,44,9,53
2478,100,5,44,9,53
2489,100,5,42,9,51
2499,100,5,42,9,51
2509,100,5,42,9,51
2519,100,5,42,9,51
2530,100,5,43,9,52
2540,100,5,43,9,52
2550,100,5,44,9,53
2560,100,5,44,9,53
2570,100,5,45,9,54
2580,100,5,45,9,54
2591,100,5,46,9,55
2601,100,5,47,9,56
2611,100,5,47,9,56
2621,100,5,47,10,57
2631,100,5,47,9,56
2641,100,5,48,9,57
2652,100,5,48,9,57
2662,100,5,49,9,58
2672,100,5,49,9,58
2682,100,5,49,10,59
2692,100,5,47,9,56
2702,100,5,47,10,57
2713,100,5,46,10,56
2723,100,5,47,10,57
2733,100,5,47,10,57
2743,100,5,47,11,58
2753,100,5,47,11,58
2763,100,5,48,11,59
2773,100,5,48,11,59
2784,100,5,49,11,60
2794,100,5,49,11,60
2804,100,5,49,12,61
2814,100,5,49,12,61
2824,100,5,50,11,61
2834,100,5,50,11,61
2845,100,5,50,12,62
2855,100,5,50,12,62
2865,100,5,51,12,63
2875,100,5,51,12,63
2885,100,5,50,11,61
2895,100,5,50,11,61
2906,100,5,49,12,61
2916,100,5,49,12,61
2926,100,5,50,12,62
2936,100,5,50,12,62
2946,100,5,51,12,63
2957,100,5,51,12,63
2967,100,5,51,13,64
2977,100,5,51,13,64
2987,100,5,52,13,65
2997,100,5,52,13,65
3007,100,5,53,13,66
3018,100,5,53,13,66
3028,100,5,54,12,66
3038,100,5,54,12,66
3048,100,5,55,12,67
3058,100,5,55,12,67
3068,100,5,56,12,68
3079,100,5,56,12,68
3089,100,5,55,11,66
3099,100,5,55,11,66
3109,100,5,55,11,66
3119,100,5,55,11,66
3129,100,5,56,11,67
3140,100,5,56,11,67
3150,100,5,57,11,68
3160,100,5,57,11,68
3170,100,5,58,11,69
3180,100,5,58,11,69
3190,100,5,59,11,70
3201,100,5,59,11,70
3211,100,5,59,12,71
3221,100,5,59,12,71
3231,100,5,60,11,71
3241,100,5,60,11,71
3252,100,5,61,11,72
3262,100,5,61,11,72
3272,100,5,62,11,73
3282,100,5,62,11,73
3292,100,5,61,10,71
3302,100,5,61,10,71
3313,100,5,61,10,71
3323,100,5,61,10,71
3333,100,5,62,10,72
3343,100,5,62,10,72
3353,100,5,62,11,73
3363,100,5,62,11,73
3373,100,5,63,11,74
3385,100,5,63,11,74
3396,100,5,64,11,75
3406,100,5,65,11,76
3417,100,5,65,11,76
3428,100,5,66,10,76
3438,100,5,66,10,76
3448,100,5,67,10,77
3459,100,5,67,10,77
3469,100,5,68,10,78
3479,100,5,68,10,78
3489,95,7,64,10,74
3499,95,7,64,10,74
3509,95,7,64,10,74
3520,95,7,64,10,74
3530,95,7,65,10,75
3540,95,7,65,10,75
3550,95,7,66,10,76
3561,95,7,66,10,76
3571,95,7,67,10,77
3581,95,7,67,10,77
3591,95,7,67,11,78
3601,95,7,67,11,78
3611,95,7,68,11,79
3622,95,7,68,11,79
3632,95,7,69,10,79
3642,95,7,69,10,79
3652,95,7,70,10,80
3662,95,7,70,10,80
3672,95,7,71,10,81
3683,95,7,71,10,81
3693,95,7,66,11,77
3704,95,7,66,11,77
3716,95,7,66,11,77
3728,95,7,66,11,77
3740,95,7,67,11,78
3752,95,7,68,11,79
3764,95,7,68,11,79
3775,95,7,69,11,80
3785,95,7,69,11,80
3795,95,7,70,11,81
3806,95,7,70,11,81
3816,95,7,71,11,82
3826,95,7,71,11,82
3836,95,7,72,10,82
3847,95,7,72,10,82
3857,95,7,73,10,83
3867,95,7,73,10,83
3877,95,7,74,10,84
3888,95,7,69,10,79
3898,95,7,70,10,80
3908,95,7,70,10,80
3919,95,7,70,10,80
3929,95,7,70,10,80
3939,95,7,71,10,81
3949,95,7,71,10,81
3959,95,7,72,10,82
3970,95,7,72,10,82
3980,95,7,72,11,83
3990,95,7,72,11,83
4000,95,7,73,11,84
4010,95,7,73,11,84
4020,95,7,74,11,85
4031,95,7,74,10,84
4041,95,7,74,11,85
4051,95,7,74,11,85
4061,95,7,75,11,86
4071,95,7,75,11,86
4081,95,7,76,11,87
4092,95,7,71,11,82
4102,95,7,72,11,83
4112,95,7,71,11,82
4122,95,7,72,11,83
4132,95,7,72,11,83
4142,95,7,73,11,84
4153,95,7,73,11,84
4163,95,7,74,11,85
4173,95,7,74,11,85
4183,95,7,75,11,86
4193,95,7,75,11,86
4203,95,7,76,11,87
4214,95,7,76,11,87
4224,95,7,77,11,88
4234,95,7,77,10,87
4244,95,7,77,11,88
4254,95,7,77,11,88
4265,95,7,78,11,89
4275,95,7,78,11,89
4285,95,7,79,11,90
4295,95,7,74,11,85
4305,95,7,75,11,86
4315,95,7,74,11,85
4326,95,7,75,11,86
4336,95,7,75,11,86
4346,95,7,76,11,87
4356,95,7,76,11,87
4366,95,7,76,12,88
4377,95,7,76,12,88
4387,95,7,77,12,89
4398,95,7,77,12,89
4409,95,7,78,12,90
4420,95,7,78,13,91
4430,95,7,78,12,90
4440,95,7,79,12,91
4450,95,7,79,12,91
4461,95,7,80,12,92
4471,95,7,80,12,92
4481,95,7,81,12,93
4491,95,7,76,12,88
4501,95,7,77,12,89
4511,95,7,76,12,88
4521,95,7,77,12,89
4535,95,7,77,12,89
4545,95,7,78,12,90
4556,95,7,78,12,90
4568,95,7,79,12,91
4580,95,7,79,12,91
4592,95,7,80,12,92
4602,95,7,80,12,92
4613,95,7,80,13,93
4623,95,7,80,13,93
4634,95,7,81,12,93
4644,95,7,81,12,93
4655,95,7,82,12,94
4667,95,7,82,12,94
4678,95,7,82,13,95
4689,95,7,80,13,93
4699,95,7,78,13,91
4709,95,7,79,13,92
4724,95,7,78,13,91
4734,95,7,79,13,92
4744,95,7,79,13,92
4754,95,7,79,14,93
4765,95,7,79,14,93
4775,95,7,80,14,94
4785,95,7,80,14,94
4796,95,7,80,15,95
4806,95,7,80,15,95
4816,95,7,81,15,96
4826,95,7,81,15,96
4836,95,7,82,14,96
4847,95,7,82,14,96
4857,95,7,83,14,97
4867,95,7,83,14,97
4877,95,7,84,14,98
4887,95,7,84,14,98
4897,100,5,83,13,96
4907,100,5,83,13,96
4918,100,5,83,13,96
4928,100,5,83,13,96
4938,100,5,84,13,97
4948,100,5,84,13,97
4958,100,5,84,14,98
