elapsed_ms,cpu_pct,workers_active,queue_len
1,0,0,0
11,10,1,0
21,20,2,0
32,20,2,0
42,30,3,0
52,30,3,0
62,40,4,0
72,40,4,0
82,50,5,0
93,50,5,0
103,85,6,0
113,85,6,0
123,95,7,0
133,95,7,0
143,95,7,0
154,95,7,0
164,95,7,1
174,95,7,1
184,95,7,2
194,95,7,2
204,95,7,2
215,95,7,2
225,85,6,3
235,85,6,3
245,75,5,4
255,75,5,4
265,100,5,4
275,100,5,4
286,100,5,4
296,100,5,4
306,75,5,4
316,75,5,4
326,100,5,4
336,100,5,4
347,100,5,5
357,100,5,5
367,100,5,6
377,100,5,6
388,100,5,7
398,100,5,7
408,100,5,7
418,100,5,7
428,100,5,8
438,100,5,8
449,100,5,9
459,100,5,9
469,75,5,9
479,75,5,9
489,100,5,9
500,100,5,9
510,100,5,9
520,100,5,9
530,75,5,9
540,75,5,9
551,75,5,10
562,75,5,10
573,75,5,11
583,75,5,11
594,75,5,12
604,100,5,12
615,100,5,12
625,100,5,13
635,100,5,13
645,100,5,14
655,100,5,14
665,100,5,14
676,100,5,14
686,85,6,13
696,85,6,13
706,75,5,14
716,75,5,14
727,100,5,14
737,100,5,14
747,100,5,15
757,100,5,15
767,100,5,16
778,100,5,16
788,100,5,17
798,100,5,17
808,75,5,17
818,75,5,17
828,75,5,18
839,75,5,18
849,75,5,19
859,75,5,19
869,100,5,19
880,100,5,19
890,100,5,18
900,100,5,18
910,100,5,19
920,100,5,19
931,75,5,19
941,75,5,19
951,75,5,20
961,75,5,20
971,75,5,21
981,75,5,21
992,75,5,22
1002,100,5,21
1012,100,5,22
1022,100,5,22
1032,100,5,23
1042,100,5,23
1053,100,5,24
1063,75,5,23
1073,75,5,24
1083,100,5,22
1093,100,5,23
1103,100,5,23
1114,100,5,24
1124,100,5,23
1134,100,5,24
1144,100,5,24
1154,100,5,25
1164,100,5,25
1174,100,5,26
1185,100,5,26
1195,100,5,27
1205,75,5,26
1215,75,5,27
1225,75,5,27
1236,75,5,28
1246,75,5,28
1256,75,5,29
1266,100,5,28
1276,100,5,29
1286,75,5,27
1297,75,5,28
1307,75,5,28
1317,75,5,29
1327,100,5,28
1337,100,5,29
1347,100,5,29
1358,100,5,30
1368,100,5,30
1379,100,5,31
1389,100,5,32
1399,100,5,32
1409,100,5,32
1420,100,5,32
1430,100,5,33
1440,100,5,33
1452,100,5,34
1466,65,4,34
1477,75,5,34
1487,100,5,32
1497,100,5,33
1510,100,5,34
1520,100,5,34
1530,75,5,34
1540,75,5,34
1550,75,5,35
1560,75,5,35
1571,75,5,36
1581,75,5,36
1591,75,5,37
1601,75,5,37
1612,100,5,37
1622,100,5,37
1632,100,5,38
1642,100,5,38
1652,100,5,39
1663,100,5,39
1673,100,5,39
1683,100,5,39
1693,100,5,38
1703,100,5,38
1713,100,5,39
1724,100,5,38
1734,100,5,39
1744,100,5,39
1754,100,5,40
1764,100,5,40
1774,100,5,41
1785,100,5,41
1795,100,5,42
1805,75,5,41
1815,75,5,42
1825,75,5,42
1836,75,5,43
1846,75,5,43
1856,75,5,44
1866,75,5,44
1878,100,5,44
1889,75,5,42
1905,75,5,43
1916,75,5,44
1926,100,5,43
1936,100,5,44
1946,100,5,44
1956,100,5,45
1966,100,5,45
1977,100,5,46
1987,100,5,46
1997,100,5,47
2007,100,5,46
2017,100,5,47
2027,100,5,47
2037,100,5,48
2048,100,5,48
2058,100,5,49
2068,75,5,48
2078,75,5,49
2089,100,5,47
2099,100,5,48
2109,100,5,48
2119,100,5,49
2129,75,5,48
2139,75,5,49
2149,75,5,49
2160,75,5,50
2170,75,5,50
2180,75,5,51
2190,75,5,51
2200,75,5,52
2210,100,5,51
2221,100,5,52
2231,100,5,52
2241,100,5,53
2251,100,5,53
2261,100,5,54
2272,100,5,53
2282,100,5,54
2292,100,5,52
2302,100,5,53
2312,100,5,53
2323,100,5,54
2333,100,5,53
2344,100,5,54
2354,100,5,55
2364,100,5,55
2375,100,5,56
2386,100,5,56
2396,100,5,57
2406,75,5,56
2416,75,5,57
2426,75,5,57
2436,75,5,58
2447,75,5,58
2457,75,5,59
2468,75,5,59
2479,100,5,59
2489,100,5,57
2499,100,5,58
2509,100,5,58
2519,100,5,59
2529,100,5,58
2539,100,5,59
2550,100,5,59
2564,100,5,60
2577,100,5,61
2588,100,5,61
2598,100,5,62
2610,100,5,61
2620,100,5,62
2630,100,5,62
2640,100,5,63
2650,100,5,63
2661,100,5,64
2671,100,5,64
2682,75,5,64
2692,100,5,62
2702,100,5,63
2712,100,5,63
2722,100,5,64
2732,100,5,63
2743,100,5,64
2753,100,5,64
2763,100,5,65
2773,100,5,65
2783,100,5,66
2794,100,5,66
2804,100,5,66
2814,100,5,66
2824,100,5,67
2835,100,5,67
2846,100,5,68
2856,100,5,68
2866,100,5,69
2879,100,5,69
2889,75,5,67
2900,75,5,68
2910,75,5,68
2922,75,5,69
2932,100,5,68
2942,100,5,69
2953,100,5,69
2963,100,5,70
2974,100,5,70
2987,100,5,71
2998,100,5,71
3008,100,5,71
3018,100,5,71
3029,100,5,72
3039,100,5,72
3049,100,5,73
3059,100,5,73
3069,100,5,74
3080,100,5,73
3090,100,5,72
3100,100,5,72
3110,100,5,73
3120,100,5,74
3130,75,5,73
3141,75,5,74
3151,75,5,74
3161,75,5,75
3171,75,5,75
3181,75,5,76
3191,75,5,76
3202,75,5,77
3212,100,5,76
3222,100,5,77
3232,100,5,77
3242,100,5,78
3252,100,5,78
3263,100,5,79
3273,100,5,79
3283,100,5,79
3293,100,5,77
3304,100,5,78
3314,100,5,78
3324,100,5,79
3334,100,5,78
3344,100,5,79
3354,100,5,79
3364,100,5,80
3375,100,5,80
3385,100,5,81
3395,100,5,81
3405,75,5,81
3415,75,5,81
3426,75,5,82
3436,75,5,82
3446,75,5,83
3456,75,5,83
3466,75,5,84
3477,100,5,83
3487,100,5,84
3497,100,5,82
3507,100,5,83
3517,100,5,83
3527,100,5,83
3539,100,5,83
3552,100,5,84
3562,100,5,84
3572,100,5,85
3588,100,5,86
3598,100,5,86
3608,100,5,86
3618,100,5,86
3629,100,5,87
3639,100,5,87
3649,100,5,88
3659,100,5,88
3669,100,5,89
3679,75,5,88
3689,100,5,87
3700,100,5,87
3710,100,5,88
3720,100,5,88
3730,100,5,88
3740,100,5,88
3750,100,5,89
3761,100,5,89
3771,100,5,90
3781,100,5,90
3791,100,5,91
3801,100,5,91
3812,100,5,91
3822,100,5,91
3832,100,5,92
3842,100,5,92
3852,100,5,93
3862,100,5,93
3873,100,5,94
3883,100,5,93
3893,75,5,92
3903,75,5,92
3914,75,5,93
3926,75,5,93
3937,100,5,93
3947,100,5,94
3957,100,5,94
3969,100,5,95
3980,100,5,95
3990,100,5,96
4001,100,5,96
4011,100,5,96
4021,100,5,96
4031,100,5,97
4041,100,5,97
4052,100,5,98
4062,100,5,98
4072,100,5,99
4082,100,5,98
4092,100,5,97
4103,100,5,97
4113,100,5,98
4123,100,5,98
4133,75,5,98
4143,75,5,98
4154,75,5,99
4164,75,5,99
4174,75,5,100
