== Optimized simulation (option2) ==
1000 tasks, 70% IO / 30% CPU, 8 workers, cap 100%
DISPATCH kind=Io cpu_running=0 io_q=0 cpu_q=0 cpu%=10 busy=1
DISPATCH kind=Io cpu_running=0 io_q=0 cpu_q=0 cpu%=20 busy=2
DISPATCH kind=Io cpu_running=0 io_q=0 cpu_q=0 cpu%=30 busy=3
DISPATCH kind=Io cpu_running=0 io_q=0 cpu_q=0 cpu%=40 busy=4
DISPATCH kind=Io cpu_running=0 io_q=0 cpu_q=0 cpu%=50 busy=5
DISPATCH kind=Cpu cpu_running=1 io_q=0 cpu_q=0 cpu%=85 busy=6
DISPATCH kind=Io cpu_running=1 io_q=0 cpu_q=0 cpu%=95 busy=7
DISPATCH kind=Io cpu_running=1 io_q=1 cpu_q=2 cpu%=95 busy=7
DISPATCH kind=Cpu cpu_running=2 io_q=3 cpu_q=1 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=3 cpu_q=1 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=3 cpu_q=1 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=4 cpu_q=0 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=4 cpu_q=3 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=6 cpu_q=3 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=7 cpu_q=2 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=7 cpu_q=2 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=7 cpu_q=2 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=11 cpu_q=1 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=12 cpu_q=2 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=12 cpu_q=2 cpu%=75 busy=5
DISPATCH kind=Io cpu_running=1 io_q=11 cpu_q=2 cpu%=85 busy=6
DISPATCH kind=Io cpu_running=1 io_q=10 cpu_q=2 cpu%=95 busy=7
DISPATCH kind=Io cpu_running=1 io_q=9 cpu_q=3 cpu%=95 busy=7
DISPATCH kind=Cpu cpu_running=1 io_q=12 cpu_q=4 cpu%=85 busy=6
DISPATCH kind=Cpu cpu_running=2 io_q=14 cpu_q=5 cpu%=80 busy=3
DISPATCH kind=Io cpu_running=2 io_q=13 cpu_q=5 cpu%=90 busy=4
DISPATCH kind=Io cpu_running=2 io_q=12 cpu_q=5 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=12 cpu_q=5 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=15 cpu_q=6 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=1 io_q=17 cpu_q=7 cpu%=55 busy=3
DISPATCH kind=Cpu cpu_running=2 io_q=17 cpu_q=6 cpu%=90 busy=4
DISPATCH kind=Io cpu_running=2 io_q=16 cpu_q=6 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=15 cpu_q=7 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=17 cpu_q=9 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=0 io_q=20 cpu_q=9 cpu%=30 busy=3
DISPATCH kind=Cpu cpu_running=1 io_q=20 cpu_q=8 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=20 cpu_q=7 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=20 cpu_q=7 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=24 cpu_q=7 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=26 cpu_q=8 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=1 io_q=26 cpu_q=7 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=26 cpu_q=6 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=26 cpu_q=6 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=29 cpu_q=7 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=0 io_q=31 cpu_q=8 cpu%=30 busy=3
DISPATCH kind=Cpu cpu_running=1 io_q=31 cpu_q=7 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=31 cpu_q=6 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=31 cpu_q=6 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=31 cpu_q=10 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=0 io_q=33 cpu_q=11 cpu%=30 busy=3
DISPATCH kind=Cpu cpu_running=1 io_q=33 cpu_q=10 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=33 cpu_q=9 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=33 cpu_q=9 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=33 cpu_q=13 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=36 cpu_q=13 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=1 io_q=36 cpu_q=12 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=36 cpu_q=11 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=35 cpu_q=12 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=38 cpu_q=13 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=0 io_q=38 cpu_q=16 cpu%=30 busy=3
DISPATCH kind=Cpu cpu_running=1 io_q=38 cpu_q=15 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=38 cpu_q=14 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=38 cpu_q=14 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=40 cpu_q=16 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=42 cpu_q=17 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=0 io_q=41 cpu_q=17 cpu%=40 busy=4
DISPATCH kind=Cpu cpu_running=1 io_q=41 cpu_q=16 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=42 cpu_q=15 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=46 cpu_q=15 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=46 cpu_q=18 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=45 cpu_q=18 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=45 cpu_q=17 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=44 cpu_q=18 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=46 cpu_q=20 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=47 cpu_q=22 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=46 cpu_q=22 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=46 cpu_q=21 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=45 cpu_q=22 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=48 cpu_q=23 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=49 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=48 cpu_q=25 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=48 cpu_q=24 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=48 cpu_q=24 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=51 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=53 cpu_q=26 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=53 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=53 cpu_q=24 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=53 cpu_q=24 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=56 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=59 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=58 cpu_q=25 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=1 io_q=58 cpu_q=24 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=59 cpu_q=23 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=62 cpu_q=24 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=64 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=63 cpu_q=25 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=63 cpu_q=24 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=62 cpu_q=25 cpu%=75 busy=5
DISPATCH kind=Cpu cpu_running=2 io_q=67 cpu_q=24 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=2 io_q=69 cpu_q=25 cpu%=100 busy=5
DISPATCH kind=Io cpu_running=1 io_q=68 cpu_q=25 cpu%=65 busy=4
DISPATCH kind=Cpu cpu_running=2 io_q=68 cpu_q=24 cpu%=100 busy=5
